description,price,rooms,area,location,floor
 ÇETİN EMLAK'TAN TANDOGAN MAH.DE ULTRA LÜKS YAPILI 3+1 1 ARA KAT ,1.858.000 TL,weekend3+1,texture135 m2,Ankara - Sincan - Tandoğan Mh.,layers1. Kat
CEM EMLAKTAN DEMETEVLERDE SATILIK DAIRE,1.400.000 TL,weekend3+1,texture130 m2,Ankara - Yenimahalle - Demetlale Mh.,layers1. Kat
 BAĞLUM KAFKAS MAHALLESİNDE BU FİYATA SIFIR DAİRE KALMADI !!!,1.690.000 TL,weekend2+1,texture110 m2,Ankara - Keçiören - Kafkas Mh.,layersDüz Giriş (Zemin)
 KAYA EMLAK TAN SARAYIN EN GÖZEL YERİNDE,3.650.000 TL,weekend3+1,texture165 m2,Ankara - Pursaklar - Saray Cumhuriyet Mh.,layers5. Kat
SYM'DEN PLEVNEDE 1. ARA KATTA KAÇIRILMAYACAK FULL+ FULL YAPILI 3+...,1.859.000 TL,weekend3+1,texture130 m2,Ankara - Sincan - Plevne Mh.,layers1. Kat
 ANKARA ETİMESGUT YAPRACIK LODOS MODERN 2+1 LÜKS DAİRELER,3.000.000 TL,weekend2+1,texture95 m2,Ankara - Etimesgut - Yapracık Mh.,layers6. Kat
 ANKARA ETİMESGUT YAPRACIK LODOS İDEAL PROJESİ 2+1 LÜKS DAİRELER,3.300.000 TL,weekend2+1,texture95 m2,Ankara - Etimesgut - Atayurt Mh.,layers7. Kat
 ANKARA ETİMESGUT YAPRACIK LODOS MODERN 2+1 LÜKS DAİRELER,2.700.000 TL,weekend2+1,texture75 m2,Ankara - Etimesgut - Yapracık Mh.,layers5. Kat
" KARAPÜRÇEK MAHALLESİNDE DİŞ HASTANESİ YAKININDA, ASANSÖRLÜ 2+1 S...",1.024.000 TL,weekend2+1,texture90 m2,Ankara - Altındağ - Karapürçek Mh.,layersBahçe katı
SİNCAN GAZİOSMANPAŞA MAH SİTE İÇİNDE ÖN 1.ARAKAT SATILIK DAİRE,1.749.000 TL,weekend3+1,texture120 m2,Ankara - Sincan - Gazi Osmanpaşa Mh.,layers1. Kat
 GENERAL ZEKİ DOĞAN MAHALLESİ'NDE SATILIK 2+1 BAHÇEKATI DAİRE,1.300.000 TL,weekend2+1,texture110 m2,Ankara - Mamak - General Zeki Doğan Mh.,layersBahçe katı
 FARABİ SOKAK'TA KÖŞE KONUMLU BAKIMLI 3+1 SATILIK FIRSAT DAİRE,4.490.000 TL,weekend3+1,texture120 m2,Ankara - Çankaya - Çankaya Mh.,layers3. Kat
 ATAPARK BÖLGESİNDE HERŞEY AYAĞINIZIN DİBİNDE BU DAİRE KAÇMAZ,2.400.000 TL,weekend3+1,texture130 m2,Ankara - Keçiören - Atapark Mh.,layers2. Kat
SİNCAN FATİH MAH.DE 2+1 ARAKAT UYGUN KELEPİR SATILIK DAİRE,1.159.000 TL,weekend2+1,texture80 m2,Ankara - Sincan - Fatih Mh.,layers2. Kat
